rank,content_id,decline_score,action,reason_code,impressions,clicks,avg_position
1,content_cb35c5cd43ee17d2,0.9211390857605198,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,1388,0,59530.0
2,content_12e9a06b1b6041af,0.9211390857605198,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,1424,0,23296.5
3,content_5060f8d8e875e438,0.9211390857605198,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,1425,0,40249.0
4,content_7a0a59b4cb181ab9,0.9211390857605198,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,1409,0,48652.0
5,content_4f20bf99ad8a4c17,0.9211390857605198,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,1465,0,58545.0
6,content_f6723f0229e1bfdc,0.9211390857605198,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,1423,0,21520.0
7,content_392abd14d5a146ea,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,790,0,49237.0
8,content_1314807b7e16df69,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,757,0,16557.0
9,content_56308802ad1af681,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,844,0,33606.0
10,content_08b0876d397c8de0,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,993,0,37628.0
11,content_3a319f2ff4ffda2d,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,851,0,18120.0
12,content_12aad21f7eb34ddb,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,715,0,24867.0
13,content_daefe9417b0c1e18,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,1099,0,43893.0
14,content_e53aef0ca93a8ed1,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,816,0,23654.0
15,content_2cc8fff26296f487,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,1004,0,32111.0
16,content_2e76021cede33d42,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,649,0,26641.0
17,content_0cf7684dbe872d01,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,571,0,26919.0
18,content_a49d621d476664e2,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,352,0,19323.0
19,content_4eda8031337c5b6b,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,544,0,17929.0
20,content_3a71c9f9d43aa974,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,589,0,29079.0
21,content_cece58b654fcbb29,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,823,0,29632.0
22,content_d6b8381fc2a24a86,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,585,0,19049.0
23,content_defed7c86c75526d,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,707,0,22056.0
24,content_b90ad0719adc36cc,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,817,0,29225.0
25,content_1b7bb68c47961e6b,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,1006,0,41068.0
26,content_0a8e61d7f83b43f0,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,451,0,14687.0
27,content_769c5f5031f73121,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,488,0,25275.0
28,content_1260444b6f9540b9,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,874,0,27002.0
29,content_aa5eb4d44b026f6f,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,704,0,29281.0
30,content_5a5ec7c270d641dc,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,793,0,29098.0
31,content_356920a72f58a23e,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,427,0,14856.0
32,content_d11978c74f4e768b,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,496,0,16145.0
33,content_101ea49c1a8ea057,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,672,0,24533.0
34,content_694a059af51e30c7,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,511,0,17853.0
35,content_01985e746d5b26d0,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,854,0,25475.0
36,content_3d611a5bb49884fa,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,507,0,15677.0
37,content_b63094bd417908e9,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,482,0,20084.0
38,content_c6af504827af2c8b,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,467,0,16760.0
39,content_2756cf9073b67ce8,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,641,0,29208.0
40,content_64d9841a8f6a5e41,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,583,0,19462.0
41,content_ee01e254164e6559,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,970,0,25781.0
42,content_d4466469ab7d8713,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,913,0,34761.0
43,content_96b7f1d5f7c0c374,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,958,0,20399.5
44,content_ae59dd7406a62895,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,376,0,15819.0
45,content_877c08cf2d1997a1,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,832,0,33100.0
46,content_a089763795c60915,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,360,0,15709.0
47,content_75d673335d6a9d72,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,472,0,23475.0
48,content_833f66ac9aaa69ca,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,671,0,28034.0
49,content_96d5645b75169906,0.9135263658078481,URGENT_REFRESH,POOR_RANKING | MODEL_FLAGGED,761,0,24966.0
